min_temp,max_temp,rainfall,evaporation,sunshine,wind_gust_dir,wind_gust_speed,temp_9am,humidity_9am,cloud_9am,wind_dir_9am,wind_speed_9am,pressure_9am,temp_3pm,humidity_3pm,cloud_3pm,wind_dir_3pm,wind_speed_3pm,pressure_3pm,date,location
4.6,18.5,0,-1,-1,E,30,9.0,99,4,Calm,-1,1014.5,17.3,49,7,SSW,13,1014.6,2023-04-01,Canberra
3.1,19.2,0,-1,-1,ENE,28,12.3,82,8,Calm,-1,1021.0,18.0,53,8,ESE,11,1018.3,2023-04-02,Canberra
6.7,21.3,0,-1,-1,ENE,24,14.1,82,8,SSW,7,1022.5,20.1,58,5,Calm,-1,1018.9,2023-04-03,Canberra
9.9,24.3,0.6,-1,-1,SSE,30,17.4,68,-1,ENE,9,1022.2,23.7,39,-1,NW,7,1016.6,2023-04-04,Canberra
7.7,24.7,3.2,-1,-1,ENE,26,15.2,82,-1,S,7,1018.7,22.7,40,8,E,11,1014.5,2023-04-05,Canberra
7.2,21.7,0,-1,-1,NE,20,13.6,82,1,SE,7,1016.7,20.8,47,8,NE,13,1012.0,2023-04-06,Canberra
11.4,15.6,11.0,-1,-1,W,57,12.7,100,7,NE,9,1006.3,14.1,89,8,E,9,999.7,2023-04-07,Canberra
7.3,18.3,17.0,-1,-1,WNW,52,14.3,70,4,WNW,28,1001.0,17.7,55,3,WNW,28,1000.8,2023-04-08,Canberra
8.2,16.8,0.2,-1,-1,WNW,52,12.3,56,3,WNW,19,1005.7,14.9,47,2,W,24,1005.5,2023-04-09,Canberra
0.7,16.5,0,-1,-1,N,35,8.6,68,-1,SW,4,1010.1,15.1,45,4,NW,17,1007.4,2023-04-10,Canberra
0.8,20.1,0,-1,-1,SSW,41,10.2,68,1,NW,9,1013.6,19.4,45,8,S,19,1010.4,2023-04-11,Canberra
3.9,15.2,0,-1,-1,NNW,33,10.3,91,7,Calm,-1,1010.4,11.8,90,8,W,11,1006.2,2023-04-12,Canberra
5.3,20.0,2.4,-1,-1,S,41,15.1,75,3,S,26,1011.8,18.9,60,7,SSE,13,1011.8,2023-04-13,Canberra
6.2,20.4,0.2,-1,-1,SSW,28,14.1,70,-1,SSE,13,1016.3,19.7,50,1,ESE,9,1012.1,2023-04-14,Canberra
6.6,21.4,0,-1,-1,NNW,37,13.3,76,6,N,6,1010.2,20.5,56,8,NNW,26,1005.4,2023-04-15,Canberra
13.1,15.9,2.4,-1,-1,WNW,56,14.5,95,7,N,28,1002.6,13.8,63,8,WNW,30,1006.6,2023-04-16,Canberra
1.3,19.1,2.6,-1,-1,WNW,15,7.0,100,8,N,2,1023.2,18.1,34,-1,NNE,7,1022.2,2023-04-17,Canberra
3.5,21.0,0,-1,-1,E,24,12.9,80,7,SSW,11,1026.7,20.7,42,-1,N,13,1021.1,2023-04-18,Canberra
4.0,22.0,0,-1,-1,E,30,11.5,86,1,Calm,-1,1020.6,21.3,45,-1,NW,13,1017.1,2023-04-19,Canberra
11.4,17.5,0,-1,-1,E,24,13.3,77,8,ENE,11,1025.0,17.1,59,-1,NNE,6,1023.2,2023-04-20,Canberra
