date,min_temp,max_temp,rainfall,wind_gust_dir,wind_gust_speed,cloudiness,humidity,pressure,city_id
2021-03-13,14.33,28.77,7.03,NW,6.17,40.0,64.0,1015.0,1
2021-03-14,9.6,20.41,0.11,S,5.14,90.0,93.0,1018.0,1
2021-03-15,4.84,21.83,0.0,ESE,3.6,74.0,47.0,1024.0,1
2017-06-26,-1.13,12.61,0.0,WNW,5.1,20.0,53.0,1022.0,1
2017-06-27,-2.19,10.08,0.0,N,3.6,75.0,61.0,1026.0,1
2017-06-28,-0.53,10.93,0.0,NNW,5.7,75.0,76.0,1022.0,1
2017-06-29,-2.62,9.08,0.0,WNW,4.6,20.0,75.0,1021.0,1
2017-06-30,-2.49,10.1,0.0,S,4.6,0.0,36.0,1026.0,1
2017-07-01,-6.48,11.11,0.0,S,3.6,0.0,49.0,1030.0,1
2017-07-02,-6.06,13.29,0.0,NW,3.6,0.0,49.0,1025.0,1
2017-07-03,-5.56,8.87,4.8,N,4.63,75.0,53.0,1018.0,1
2017-07-04,6.82,11.92,0.0,NNW,11.83,40.0,54.0,1011.0,1
2017-07-05,5.29,11.52,3.57,NNW,8.75,75.0,76.0,1012.0,1
2017-07-06,-0.76,11.77,0.0,WNW,7.2,20.0,58.0,1015.0,1
2017-07-07,-2.06,10.65,1.5,NW,8.75,20.0,71.0,1011.0,1
2017-07-08,-3.54,9.59,0.6,NW,7.2,40.0,71.0,1015.0,1
2017-07-09,2.91,9.6,1.8,NW,7.72,75.0,62.0,1019.0,1
2017-07-10,-2.61,11.14,0.0,NW,6.69,20.0,62.0,1026.0,1
2017-07-11,-4.97,12.22,0.3,W,3.6,20.0,53.0,1031.0,1
2017-07-12,-2.83,10.63,0.0,SE,3.6,0.0,53.0,1034.0,1
2017-07-13,-4.92,11.71,0.0,NNW,6.17,75.0,66.0,1026.0,1
2017-07-14,-0.07,12.63,2.1,NW,9.26,75.0,58.0,1016.0,1
2017-07-15,-0.67,9.82,0.3,WNW,6.17,75.0,66.0,1019.0,1
2017-07-16,-5.32,9.67,0.0,NNW,4.12,0.0,42.0,1022.0,1
2017-07-17,-3.37,12.42,0.3,NNW,7.72,40.0,62.0,1018.0,1
2017-07-18,1.35,12.19,2.73,WNW,10.8,40.0,67.0,1011.0,1
2017-07-19,3.9,11.76,0.8,NW,8.75,40.0,66.0,1007.0,1
2017-07-20,-0.23,9.74,0.0,WNW,8.75,20.0,53.0,1013.0,1
2017-07-21,-2.07,11.59,0.0,SSW,4.63,40.0,57.0,1022.0,1
2017-07-22,-6.33,11.78,0.0,NNW,7.2,0.0,65.0,1022.0,1
2017-07-23,-0.17,15.2,0.0,NW,9.77,0.0,40.0,1014.0,1
2017-07-24,3.28,13.59,0.0,NW,8.23,40.0,51.0,1019.0,1
2017-07-25,2.78,13.88,0.0,NW,8.75,40.0,58.0,1021.0,1
2017-07-26,2.91,12.61,1.34,W,9.26,40.0,47.0,1016.0,1
2017-07-27,-2.78,11.35,0.0,NNW,5.14,40.0,81.0,1025.0,1
2017-07-28,0.11,13.35,1.63,NNW,8.75,20.0,50.0,1017.0,1
2017-07-29,-3.52,13.58,0.0,N,6.17,0.0,66.0,1019.0,1
2017-07-30,5.03,15.57,1.5,NNW,8.75,75.0,36.0,1013.0,1
2017-07-31,2.46,9.4,13.71,NNW,4.63,90.0,100.0,1017.0,1
2017-08-01,-0.55,12.33,0.0,WNW,3.6,20.0,81.0,1024.0,1
2017-08-02,-1.91,12.34,0.0,E,5.14,20.0,50.0,1024.0,1
2017-08-03,0.46,11.18,18.62,ENE,7.72,90.0,67.0,1016.0,1
