date,temp,rainfall,sunrise,sunset,wind_gust_dir,wind_gust_speed,cloudiness,humidity,pressure,city_id
2017-06-26 17:00:00,6.72,0.0,07:12:54,16:59:42,NNE,3.6,20,61,1022,1
2017-06-26 23:00:00,0.34,0.0,07:12:54,16:59:42,E,1.5,0,97,1026,1
2017-06-27 17:00:00,7.25,0.0,07:12:58,17:00:01,NE,1.5,100,69,1024,1
2017-06-27 23:00:00,4.62,0.0,07:12:58,17:00:01,N,0,100,92,1025,1
2017-06-28 17:00:00,7.04,0.0,07:13:01,17:00:21,NNE,3.6,20,72,1021,1
2017-06-28 23:00:00,-0.69,0.0,07:13:01,17:00:21,E,1,0,98,1024,1
2017-06-29 17:00:00,5.41,0.0,07:13:02,17:00:43,WNW,3.1,40,80,1020,1
2017-06-29 23:00:00,2.72,0.0,07:13:02,17:00:43,NW,3.6,40,75,1021,1
2017-06-30 17:00:00,3.95,0.0,07:13:02,17:01:06,ESE,2.1,0,47,1026,1
2017-06-30 23:00:00,-0.62,0.0,07:13:02,17:01:06,SSW,3.1,0,66,1030,1
2017-07-01 17:00:00,8.12,0.0,07:13:00,17:01:30,N,2.6,0,39,1027,1
2017-07-01 23:00:00,-2.88,0.0,07:13:00,17:01:30,N,2.1,0,86,1028,1
2017-07-02 17:00:00,9.12,0.0,07:12:56,17:01:55,NW,2.6,0,34,1022,1
2017-07-02 23:00:00,-1.58,0.0,07:12:56,17:01:55,N,0,0,79,1025,1
2017-07-03 17:00:00,8.12,0.0,07:12:51,17:02:21,WNW,1.54,100,71,1013,1
2017-07-03 23:00:00,9.12,0.0,07:12:51,17:02:21,N,4.63,100,93,1012,1
2017-07-04 17:00:00,9.12,0.0,07:12:44,17:02:49,NW,10.3,75,76,1011,1
2017-07-04 23:00:00,9.12,0.0,07:12:44,17:02:49,NNW,8.23,75,81,1013,1
2017-07-05 17:00:00,9.12,0.0,07:12:36,17:03:17,NW,5.14,75,76,1012,1
2017-07-05 23:00:00,5.62,0.0,07:12:36,17:03:17,N,4.1,0,93,1015,1
2017-07-06 17:00:00,7.12,0.0,07:12:26,17:03:47,NNW,4.12,20,66,1014,1
2017-07-06 23:00:00,-0.88,0.0,07:12:26,17:03:47,N,0,0,100,1014,1
2017-07-07 17:00:00,9.12,0.0,07:12:14,17:04:17,W,4.63,75,57,1010,1
2017-07-07 23:00:00,1.12,0.0,07:12:14,17:04:17,N,0,40,93,1013,1
